City ID,City Name,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temperature,Wind Speed
242,Port Shepstone,82,ZA,1580090370,51,-30.74,30.45,62.94,13.73
246,Lima,40,PE,1580090111,83,-12.04,-77.03,75.2,21.92
247,Luderitz,0,,1580090000,59,-26.65,15.16,64.4,17.22
251,Arawa,94,PG,1580090371,70,-6.21,155.54,84.24,3.89
252,Warrnambool,100,AU,1580090335,75,-38.38,142.48,60.35,10.51
253,Namatanai,26,PG,1580090018,72,-3.67,152.43,85.82,12.37
258,Antofagasta,75,CL,1580089775,83,-23.65,-70.4,72.0,9.17
260,Cap Malheureux,40,MU,1580090372,78,-19.98,57.61,77.0,8.05
265,Oruro,68,BO,1580090373,59,-17.98,-67.15,51.58,7.99
268,Moree,75,AU,1580090373,45,-29.47,149.85,87.8,11.41
269,Tacuarembo,99,UY,1580090374,39,-31.73,-55.98,74.1,6.73
271,Vao,100,NC,1580090374,81,-22.67,167.48,78.66,14.76
273,Feijo,83,BR,1580090374,87,-8.16,-70.35,75.76,2.15
278,Necochea,0,AR,1580090375,59,-38.55,-58.74,60.01,10.0
280,Iquitos,96,PE,1580090100,94,-3.75,-73.25,78.8,1.07
286,Saquena,100,PE,1580090376,95,-4.67,-73.52,75.34,2.1
289,Manta,75,EC,1580090376,78,-0.95,-80.73,80.6,4.7
291,Bhisho,26,ZA,1580090376,75,-32.85,27.44,55.33,13.67
292,Pangani,79,TZ,1580090376,87,-5.43,38.97,78.06,5.68
300,Takapau,0,NZ,1580090378,52,-40.03,176.35,82.99,4.0
302,Labuhan,46,ID,1580090291,67,-6.88,112.21,87.12,2.26
304,San Miguel de Tucuman,90,AR,1580090174,94,-26.82,-65.22,71.6,4.7
305,Njombe,100,TZ,1580090378,97,-9.33,34.77,59.32,4.59
306,Tshela,100,CD,1580090378,96,-4.98,12.93,73.45,1.72
317,Lakes Entrance,100,AU,1580090380,67,-37.88,147.98,80.01,5.99
321,Jacareacanga,88,BR,1580090380,93,-6.22,-57.75,75.02,0.98
324,Norsup,75,VU,1580090381,70,-16.07,167.38,86.0,6.93
326,Padang,84,ID,1580089989,81,-0.95,100.35,78.48,2.01
328,Guaxupe,9,BR,1580090180,70,-21.31,-46.71,59.29,1.95
338,Bulawayo,0,ZW,1580090382,63,-20.15,28.58,64.47,3.09
345,Hwange,2,ZW,1580090383,85,-18.37,26.5,67.55,2.26
347,Olinda,40,BR,1580090383,74,-8.01,-34.86,84.2,4.7
352,Codrington,89,AU,1580090094,74,-38.27,141.97,60.98,12.66
354,Quatre Cocos,40,MU,1580090384,78,-20.21,57.76,77.0,8.05
358,Cairns,75,AU,1580090384,74,-16.92,145.77,90.0,8.05
360,Howard Springs,40,AU,1580090385,70,-12.5,131.05,96.01,13.87
366,Karratha,0,AU,1580090317,57,-20.74,116.85,91.0,8.46
371,Itaituba,98,BR,1580090386,84,-4.28,-55.98,76.3,2.04
372,Betioky,39,MG,1580090386,70,-23.72,44.38,76.03,4.12
381,Taltal,7,CL,1580089877,81,-25.4,-70.48,67.32,1.32
383,Omboue,83,GA,1580090043,94,-1.57,9.26,76.77,0.56
384,Talara,87,PE,1580090317,92,-4.58,-81.27,74.39,10.11
385,Carutapera,100,BR,1580090387,80,-1.2,-46.02,81.99,13.2
387,Rawson,0,AR,1580090084,57,-43.3,-65.1,59.9,10.09
389,Dunedin,6,NZ,1580089788,66,-45.87,170.5,68.0,11.3
390,Maningrida,100,AU,1580090388,81,-12.07,134.27,85.32,20.2
396,Tiarei,20,PF,1580090378,66,-17.53,-149.33,87.8,10.29
399,Hualmay,100,PE,1580090389,82,-11.1,-77.61,71.08,4.88
400,Tutoia,100,BR,1580090389,95,-2.76,-42.27,76.46,4.32
401,Wundanyi,94,KE,1580090389,95,-3.4,38.36,68.59,1.21
402,Waingapu,100,ID,1580090390,73,-9.66,120.26,83.91,1.9
406,Luau,100,AO,1580090390,98,-10.71,22.22,65.28,2.77
407,Alyangula,100,AU,1580090051,70,-13.85,136.42,89.6,13.87
413,Tsabong,0,BW,1580090391,31,-26.02,22.4,64.49,9.04
419,Pisco,56,PE,1580089842,88,-13.7,-76.22,71.6,21.92
420,Mikumi,100,TZ,1580090392,96,-7.4,36.98,69.08,3.56
426,Saint-Pierre,90,RE,1580090347,73,-21.34,55.48,75.2,9.17
431,Gamba,93,GA,1580090093,84,-2.65,10.0,78.87,0.98
433,Finschhafen,63,PG,1580090134,69,-6.6,147.87,85.75,8.55
436,Mwense,100,ZM,1580090394,99,-10.38,28.7,65.82,0.51
439,Roebourne,0,AU,1580090394,9,-20.78,117.13,108.25,12.93
441,Rio Gallegos,40,AR,1580089910,43,-51.62,-69.22,55.4,11.41
443,Mount Isa,90,AU,1580089903,78,-20.73,139.5,82.4,9.17
444,Port Hedland,0,AU,1580089904,56,-20.32,118.57,95.0,5.82
445,Kasongo-Lunda,100,CD,1580090395,97,-6.47,16.82,68.11,0.6
456,Puerto Baquerizo Moreno,100,EC,1580090396,87,-0.9,-89.6,75.79,9.24
458,Tautira,20,PF,1580090098,66,-17.73,-149.15,87.8,10.29
473,Chissamba,100,AO,1580090398,97,-12.17,17.33,63.66,1.97
476,Mercedes,20,AR,1580090398,26,-34.65,-59.43,80.01,8.99
477,Rumphi,100,MW,1580090398,99,-11.02,33.86,61.88,0.72
480,Ambovombe,6,MG,1580090399,76,-25.17,46.08,66.79,6.2
481,Kruisfontein,32,ZA,1580090399,87,-34.0,24.73,54.01,9.1
484,Saint-Leu,90,RE,1580090399,73,-21.15,55.28,75.2,9.17
485,Cuenca,90,EC,1580090399,82,-2.88,-78.98,60.8,6.93
488,Nabire,62,ID,1580089852,55,-3.37,135.48,90.23,6.04
489,Mahajanga,20,MG,1580090400,94,-15.72,46.32,78.8,4.7
491,Diego de Almagro,0,CL,1580090400,74,-26.37,-70.05,63.82,0.92
493,Laranja da Terra,100,BR,1580090400,96,-19.9,-41.06,66.78,2.33
500,Pozo Colorado,0,PY,1580090401,36,-23.49,-58.8,79.25,2.64
502,San Juan,100,AR,1580090160,42,-31.54,-68.54,82.62,12.28
503,Charters Towers,100,AU,1580090402,83,-20.1,146.27,78.03,12.26
512,Alice Springs,3,AU,1580090274,11,-23.7,133.88,95.0,14.99
514,Maceio,40,BR,1580090162,88,-9.67,-35.74,78.8,1.12
515,Sungaipenuh,100,ID,1580090405,75,-2.08,101.38,75.43,0.85
518,Tocopilla,78,CL,1580089920,57,-22.09,-70.2,66.16,3.15
526,Plettenberg Bay,28,ZA,1580090406,79,-34.05,23.37,57.58,8.84
529,Walvis Bay,91,,1580090041,82,-22.96,14.51,61.0,3.36
532,Kandrian,99,PG,1580090407,78,-6.22,149.55,84.6,3.74
533,Mitsamiouli,99,KM,1580090407,74,-11.38,43.28,81.66,3.51
539,Springbok,0,ZA,1580090408,67,-29.66,17.89,48.94,11.43
541,Richards Bay,100,ZA,1580090067,75,-28.78,32.04,74.88,34.31
543,Comodoro Rivadavia,67,AR,1580090140,48,-45.87,-67.5,64.4,2.24
545,Victor Harbor,44,AU,1580090409,55,-35.57,138.62,79.0,8.01
548,Maxixe,0,MZ,1580090410,81,-23.86,35.35,77.4,9.98
550,Floresta,100,BR,1580090262,88,-8.6,-38.57,73.42,6.46
