City ID,City Name,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temperature,Wind Speed
84,Kahului,20,US,1580089804,48,20.89,-156.47,84.2,12.75
85,Valparaiso,0,CL,1580089726,93,-33.04,-71.63,62.6,3.36
86,Kavieng,7,PG,1580090001,72,-2.57,150.8,85.12,10.85
87,Invermere,100,CA,1580090352,96,50.52,-116.04,24.48,0.56
88,Chui,39,UY,1580090048,92,-33.7,-53.46,71.33,8.14
89,La Sarre,90,CA,1580090352,95,48.8,-79.2,25.48,8.23
90,Pevek,100,RU,1580089902,94,69.7,170.31,-5.13,1.63
91,Saskylakh,99,RU,1580089905,97,71.92,114.08,-19.07,6.22
92,Cabo San Lucas,20,MX,1580089929,77,22.89,-109.91,70.0,5.82
93,Ayan,98,RU,1580090352,65,56.45,138.17,7.02,4.14
94,Asilah,0,MA,1580090352,93,35.47,-6.03,46.4,4.7
95,Tuy Hoa,100,VN,1580090011,82,13.08,109.3,74.43,14.16
96,Punta Arenas,90,CL,1580090162,66,-53.15,-70.92,51.8,13.87
97,Nemuro,75,JP,1580090353,79,43.32,145.57,23.0,5.82
98,Forrest City,83,US,1580090353,100,35.01,-90.79,48.2,3.36
99,Hilo,90,US,1580090324,61,19.73,-155.09,80.6,10.29
100,Sao Miguel do Araguaia,100,BR,1580090353,98,-13.28,-50.16,73.51,4.47
101,Lebu,3,CL,1580090294,60,-37.62,-73.65,57.61,7.78
102,Samarai,78,PG,1580090353,55,-10.62,150.67,90.27,4.72
103,Gorlev,89,DK,1580090353,100,55.54,11.23,37.99,8.05
104,Khanbari,62,NP,1580090354,81,27.37,87.2,34.99,2.3
105,Pontianak,40,ID,1580090255,88,-0.03,109.33,78.8,4.7
106,Provideniya,0,RU,1580089822,76,64.38,-173.3,-4.0,4.47
107,West Bay,20,KY,1580090354,78,19.37,-81.42,75.2,3.36
108,Dingle,8,PH,1580089881,70,11.0,122.67,84.18,6.38
109,East London,11,ZA,1580089990,69,-33.02,27.91,64.13,20.07
110,Khatanga,93,RU,1580089788,98,71.97,102.5,-20.96,1.25
111,Hofn,87,IS,1580090230,64,64.25,-15.21,39.74,23.09
112,Airai,50,TL,1580089761,60,-8.93,125.41,82.74,5.68
113,Assiut,0,EG,1580090355,81,27.18,31.18,44.6,4.7
114,Haines Junction,100,CA,1580089990,97,60.75,-137.51,1.58,1.92
115,Chernyshevskiy,97,RU,1580090355,94,63.01,112.47,0.72,8.43
116,Beringovskiy,100,RU,1580090355,91,63.05,179.32,14.68,0.51
117,Pitimbu,91,BR,1580090355,88,-7.47,-34.81,80.6,6.93
118,Gaoua,78,BF,1580090355,10,10.3,-3.25,67.62,4.47
119,Coquimbo,20,CL,1580090050,88,-29.95,-71.34,75.99,6.93
120,Khandyga,28,RU,1580090356,85,62.67,135.6,-33.65,1.88
121,Oktyabrskoye,28,RU,1580090336,69,43.06,44.74,26.56,2.71
