City ID,base,clouds.all,cod,coord.lat,coord.lon,dt,id,main.feels_like,main.grnd_level,main.humidity,main.pressure,main.sea_level,main.temp,main.temp_max,main.temp_min,name,rain.1h,rain.3h,snow.1h,snow.3h,sys.country,sys.id,sys.sunrise,sys.sunset,sys.type,timezone,visibility,weather,wind.deg,wind.gust,wind.speed
10,model,0,200,25.52,90.22,1580090048,1254046,61.7,1007.0,55,1016,1016.0,64.17,64.17,64.17,Tura,,,,,IN,,1580085884,1580125103,,19800,,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",185.0,,3.44
11,model,50,200,10.67,-63.26,1580090044,3646382,71.11,995.0,89,1015,1015.0,67.86,67.86,67.86,Carupano,,,,,VE,,1580034989,1580076853,,-14400,,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",144.0,,3.22
12,model,67,200,-9.8,-139.03,1580089769,4020109,84.25,1010.0,70,1011,1011.0,81.25,81.25,81.25,Atuona,,,,,PF,,1580051488,1580096729,,-34200,,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",70.0,,8.68
13,stations,40,200,17.16,-89.07,1580090343,3581194,80.96,,83,1014,,75.2,75.2,75.2,San Ignacio,,,,,BZ,7082.0,1580041742,1580082491,1.0,-21600,10000.0,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",127.0,,3.02
14,stations,0,200,-25.24,130.99,1580090103,6355222,82.72,,12,1014,,95.0,95.0,95.0,Yulara,,,,,AU,9487.0,1580071669,1580119745,1.0,34200,10000.0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",110.0,,16.11
15,stations,0,200,-24.87,113.63,1580090012,2074865,83.1,,83,1009,,80.6,80.6,80.6,Carnarvon,,,,,AU,9505.0,1580075876,1580123872,1.0,28800,10000.0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",220.0,,13.87
16,stations,90,200,62.46,-114.35,1580089824,6185377,-8.43,,84,1014,,1.26,1.4,1.0,Yellowknife,,,,,CA,1007.0,1580055754,1580080615,1.0,-25200,24140.0,"[{'id': 600, 'main': 'Snow', 'description': 'light snow', 'icon': '13n'}]",300.0,,5.82
17,stations,12,200,-33.01,17.94,1580090046,3361934,52.21,,82,1023,,55.4,55.4,55.4,Saldanha,,,,,ZA,1943.0,1580097954,1580147733,1.0,7200,,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",220.0,,5.82
18,stations,90,200,42.6,-73.97,1580090343,5106841,26.31,,86,1005,,35.69,39.2,32.0,Albany,,,,,US,5137.0,1580040968,1580076015,1.0,-18000,16093.0,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",290.0,,10.29
19,model,2,200,-25.17,45.05,1580090051,1067565,72.5,990.0,67,1012,1012.0,73.08,73.08,73.08,Beloha,,,,,MG,,1580092313,1580140359,,10800,,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",39.0,,7.81
20,model,100,200,-0.6,73.08,1580089996,1282256,85.19,1012.0,82,1011,1011.0,81.75,81.75,81.75,Hithadhoo,,,,,MV,,1580087749,1580131467,,18000,,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",7.0,,13.02
21,model,14,200,-23.12,-134.97,1580090000,4030556,81.73,1014.0,79,1015,1015.0,79.34,79.34,79.34,Rikitea,,,,,PF,,1580049302,1580096966,,-32400,,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",17.0,,11.39
22,stations,20,200,44.25,-116.97,1580090344,5611730,34.66,,87,1019,,39.45,42.8,35.01,Weiser,,,,,US,5211.0,1580051542,1580086085,1.0,-25200,16093.0,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",345.0,,3.24
23,model,12,200,-34.73,135.87,1580090108,2063036,65.21,1011.0,56,1017,1017.0,70.61,70.61,70.61,Port Lincoln,,,,,AU,,1580069417,1580119655,,37800,,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",155.0,,11.86
